journal,title,author,number,volume,publisher,month,year,url,doi,ENTRYTYPE,ID,primaryclass,archiveprefix,eprint,numpages,pages,issue,issn
Physical Review Letters,Efficient Stabilized Two-Qubit Gates on a Trapped-Ion Quantum Computer,Reinhold Blümel and Nikodem Grzesiak and Nhung H. Nguyen and Alaina M. Green and Ming Li and Andrii Maksymov and Norbert M. Linke and Yunseong Nam,22,126,American Physical Society ({APS}),6,2021,https://doi.org/10.1103%2Fphysrevlett.126.220503,10.1103/physrevlett.126.220503,article,Bl_mel_2021,,,,,,,
,Optimizing Electronic Structure Simulations on a Trapped-ion Quantum Computer using Problem Decomposition,Yukio Kawashima and Erika Lloyd and Marc P. Coons and Yunseong Nam and Shunji Matsuura and Alejandro J. Garza and Sonika Johri and Lee Huntington and Valentin Senicourt and Andrii O. Maksymov and Jason H. V. Nguyen and Jungsang Kim and Nima Alidoust and Arman Zaribafiyan and Takeshi Yamazaki,,,,2,2021,https://arxiv.org/abs/2102.07045,https://doi.org/10.48550/arXiv.2102.07045,article,kawashima2021optimizing,quant-ph,arXiv,2102.07045,,,,
npj Quantum Information,A quantum algorithm for string matching,"Pradeep Niroula and Nam, Yunseong",1,7,Nature Portfolio,2,2021,https://www.nature.com/articles/s41534-021-00369-3#citeas,https://doi.org/10.1038/s41534-021-00369-3,article,pradeep_niroula_nam_2021,,,,,,,
PRX Quantum,Quantum Computer Systems for Scientific Discovery,"Alexeev, Yuri and Bacon, Dave and Brown, Kenneth R. and Calderbank, Robert and Carr, Lincoln D. and Chong, Frederic T. and DeMarco, Brian and Englund, Dirk and Farhi, Edward and Fefferman, Bill and Gorshkov, Alexey V. and Houck, Andrew and Kim, Jungsang and Kimmel, Shelby and Lange, Michael and Lloyd, Seth and Lukin, Mikhail D. and Maslov, Dmitri and Maunz, Peter and Monroe, Christopher and Preskill, John and Roetteler, Martin and Savage, Martin J. and Thompson, Jeff",,2,American Physical Society,2,2021,https://link.aps.org/doi/10.1103/PRXQuantum.2.017001,10.1103/PRXQuantum.2.017001,article,PRXQuantum.2.017001,,,,19,017001,1,
,Two-qubit gates in a trapped-ion quantum computer by engineering motional modes,Ming Li and Jason Amini and Yunseong Nam,,,,4,2021,https://arxiv.org/abs/2104.13870,10.48550/arXiv.2104.13870,article,li2021twoqubit,quant-ph,arXiv,2104.13870,,,,
Quantum Science and Technology,Optimal calibration of gates in trapped-ion quantum computers,Andrii Maksymov and Pradeep Niroula and Yunseong Nam,3,6,IOP Publishing,6,2021,https://dx.doi.org/10.1088/2058-9565/abf718,10.1088/2058-9565/abf718,article,Maksymov_2021,,,,,034009,,
Quantum,Efficient quantum programming using {EASE} gates on a trapped-ion quantum computer,Nikodem Grzesiak and Andrii Maksymov and Pradeep Niroula and Yunseong Nam,,6,Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften,1,2022,https://doi.org/10.22331%2Fq-2022-01-27-634,10.22331/q-2022-01-27-634,article,Grzesiak_2022,,,,,634,,
Nature Communications,Cross-platform comparison of arbitrary quantum states,D. Zhu and Z. P. Cian and C. Noel and A. Risinger and D. Biswas and L. Egan and Y. Zhu and A. M. Green and C. Huerta Alderete and N. H. Nguyen and Q. Wang and A. Maksymov and Y. Nam and M. Cetina and N. M. Linke and M. Hafezi and C. Monroe,1,13,Springer Science and Business Media {LLC} ,11,2022,https://doi.org/10.1038%2Fs41467-022-34279-5,10.1038/s41467-022-34279-5,article,Zhu_2022,,,,,,,
{Quantum},Resource-{O}ptimized {F}ermionic {L}ocal-{H}amiltonian {S}imulation on a {Q}uantum {C}omputer for {Q}uantum {C}hemistry,"Wang, Qingfeng and Li, Ming and Monroe, Christopher and Nam, Yunseong",,5,"{Verein zur F{\""{o}}rderung des Open Access Publizierens in den Quantenwissenschaften}",7,2021,https://doi.org/10.22331/q-2021-07-26-509,10.22331/q-2021-07-26-509,article,Wang2021resourceoptimized,,,,,509,,2521-327X
,Lattice Quantum Chromodynamics and Electrodynamics on a Universal Quantum Computer,Angus Kan and Yunseong Nam,,,,1,2022,https://arxiv.org/abs/2107.12769,10.48550/arXiv.2107.12769,article,kan2022lattice,quant-ph,arXiv,2107.12769,,,,
Physical Review Research,Generative quantum learning of joint probability distribution functions,Elton Yechao Zhu and Sonika Johri and Dave Bacon and Mert Esencan and Jungsang Kim and Mark Muir and Nikhil Murgai and Jason Nguyen and Neal Pisenti and Adam Schouela and Ksenia Sosnova and Ken Wright,4,4,American Physical Society ({APS}),11,2022,https://doi.org/10.1103%2Fphysrevresearch.4.043092,10.1103/physrevresearch.4.043092,article,Zhu_2022,,,,,,,
,Application-Oriented Performance Benchmarks for Quantum Computing,Thomas Lubinski and Sonika Johri and Paul Varosy and Jeremiah Coleman and Luning Zhao and Jason Necaise and Charles H. Baldwin and Karl Mayer and Timothy Proctor,,,,10,2021,https://arxiv.org/abs/2110.03137,10.48550/arXiv.2110.03137,article,lubinski2023applicationoriented,quant-ph,arXiv,2110.03137,,,,
Nature,Fault-tolerant control of an error-corrected qubit,"Egan, Laird and Debroy, Dripto M and Noel, Christian and Risinger, Andrew and Zhu, Daiwei and Biswas, Debopriyo and Newman, Michael C and Li, M and Brown, Kenneth H and Cetina, Marko and Monroe, Christopher",7880,598,Nature Portfolio,10,2021,https://www.nature.com/articles/s41586-021-03928-y#citeas,https://doi.org/10.1038/s41586-021-03928-y,article,egan_debroy_noel_risinger_zhu_biswas_newman_li_brown_cetina_et_al._2021,,,,,281–286,,
,Low depth amplitude estimation on a trapped ion quantum computer,Tudor Giurgica-Tiron and Sonika Johri and Iordanis Kerenidis and Jason Nguyen and Neal Pisenti and Anupam Prakash and Ksenia Sosnova and Ken Wright and William Zeng,,,,9,2021,https://arxiv.org/abs/2109.09685,https://doi.org/10.48550/arXiv.2109.09685,article,giurgicatiron2021low,quant-ph,arXiv,2109.09685,,,,
npj Quantum Information,"Power-optimal, stabilized entangling gate between trapped-ion qubits","Reinhold Blümel and Grzesiak, Nikodem and Pisenti, Neal C and Wright, Kenneth P and Nam, Yunseong",1,7,Nature Portfolio,10,2021,https://www.nature.com/articles/s41534-021-00489-w#citeas,https://doi.org/10.1038/s41534-021-00489-w,article,reinhold_blümel_grzesiak_pisenti_wright_nam_2021,,,,,,,
,Interactive Protocols for Classically-Verifiable Quantum Advantage,Daiwei Zhu and Gregory D. Kahanamoku-Meyer and Laura Lewis and Crystal Noel and Or Katz and Bahaa Harraz and Qingfeng Wang and Andrew Risinger and Lei Feng and Debopriyo Biswas and Laird Egan and Alexandru Gheorghiu and Yunseong Nam and Thomas Vidick and Umesh Vazirani and Norman Y. Yao and Marko Cetina and Christopher Monroe,,,,12,2021,https://arxiv.org/abs/2112.05156,https://doi.org/10.48550/arXiv.2112.05156,article,zhu2022interactive,quant-ph,arXiv,2112.05156,,,,
,Detecting Qubit-coupling Faults in Ion-trap Quantum Computers,Andrii O. Maksymov and Jason Nguyen and Vandiver Chaplin and Yunseong Nam and Igor L. Markov,,,,8,2021,https://arxiv.org/abs/2108.03708,10.48550/arXiv.2108.03708,article,maksymov2021detecting,quant-ph,arXiv,2108.03708,,,,
