csv-file,title,author,journal,publisher,url,doi,month,year
articles,Efficient Stabilized Two-Qubit Gates on a Trapped-Ion Quantum Computer,Reinhold Blümel and Nikodem Grzesiak and Nhung H. Nguyen and Alaina M. Green and Ming Li and Andrii Maksymov and Norbert M. Linke and Yunseong Nam,Physical Review Letters,American Physical Society ({APS}),https://doi.org/10.1103%2Fphysrevlett.126.220503,10.1103/physrevlett.126.220503,6,2021
articles,Optimizing Electronic Structure Simulations on a Trapped-ion Quantum Computer using Problem Decomposition,Yukio Kawashima and Erika Lloyd and Marc P. Coons and Yunseong Nam and Shunji Matsuura and Alejandro J. Garza and Sonika Johri and Lee Huntington and Valentin Senicourt and Andrii O. Maksymov and Jason H. V. Nguyen and Jungsang Kim and Nima Alidoust and Arman Zaribafiyan and Takeshi Yamazaki,,,https://arxiv.org/abs/2102.07045,https://doi.org/10.48550/arXiv.2102.07045,2,2021
articles,A quantum algorithm for string matching,"Pradeep Niroula and Nam, Yunseong",npj Quantum Information,Nature Portfolio,https://www.nature.com/articles/s41534-021-00369-3#citeas,https://doi.org/10.1038/s41534-021-00369-3,2,2021
articles,Quantum Computer Systems for Scientific Discovery,"Alexeev, Yuri and Bacon, Dave and Brown, Kenneth R. and Calderbank, Robert and Carr, Lincoln D. and Chong, Frederic T. and DeMarco, Brian and Englund, Dirk and Farhi, Edward and Fefferman, Bill and Gorshkov, Alexey V. and Houck, Andrew and Kim, Jungsang and Kimmel, Shelby and Lange, Michael and Lloyd, Seth and Lukin, Mikhail D. and Maslov, Dmitri and Maunz, Peter and Monroe, Christopher and Preskill, John and Roetteler, Martin and Savage, Martin J. and Thompson, Jeff",PRX Quantum,American Physical Society,https://link.aps.org/doi/10.1103/PRXQuantum.2.017001,10.1103/PRXQuantum.2.017001,2,2021
articles,Two-qubit gates in a trapped-ion quantum computer by engineering motional modes,Ming Li and Jason Amini and Yunseong Nam,,,https://arxiv.org/abs/2104.13870,10.48550/arXiv.2104.13870,4,2021
articles,Optimal calibration of gates in trapped-ion quantum computers,Andrii Maksymov and Pradeep Niroula and Yunseong Nam,Quantum Science and Technology,IOP Publishing,https://dx.doi.org/10.1088/2058-9565/abf718,10.1088/2058-9565/abf718,6,2021
articles,Efficient quantum programming using {EASE} gates on a trapped-ion quantum computer,Nikodem Grzesiak and Andrii Maksymov and Pradeep Niroula and Yunseong Nam,Quantum,Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften,https://doi.org/10.22331%2Fq-2022-01-27-634,10.22331/q-2022-01-27-634,1,2022
articles,Cross-platform comparison of arbitrary quantum states,D. Zhu and Z. P. Cian and C. Noel and A. Risinger and D. Biswas and L. Egan and Y. Zhu and A. M. Green and C. Huerta Alderete and N. H. Nguyen and Q. Wang and A. Maksymov and Y. Nam and M. Cetina and N. M. Linke and M. Hafezi and C. Monroe,Nature Communications,Springer Science and Business Media {LLC} ,https://doi.org/10.1038%2Fs41467-022-34279-5,10.1038/s41467-022-34279-5,11,2022
articles,Resource-{O}ptimized {F}ermionic {L}ocal-{H}amiltonian {S}imulation on a {Q}uantum {C}omputer for {Q}uantum {C}hemistry,"Wang, Qingfeng and Li, Ming and Monroe, Christopher and Nam, Yunseong",{Quantum},"{Verein zur F{\""{o}}rderung des Open Access Publizierens in den Quantenwissenschaften}",https://doi.org/10.22331/q-2021-07-26-509,10.22331/q-2021-07-26-509,7,2021
articles,Lattice Quantum Chromodynamics and Electrodynamics on a Universal Quantum Computer,Angus Kan and Yunseong Nam,,,https://arxiv.org/abs/2107.12769,10.48550/arXiv.2107.12769,1,2022
