url,doi,publisher,month,year,numpages,pages,issue,volume,journal,author,title,ENTRYTYPE,ID,copyright,keywords,issn,primaryclass,archiveprefix,eprint
https://link.aps.org/doi/10.1103/PhysRevE.103.063302,10.1103/PhysRevE.103.063302,American Physical Society,6,2021,6,063302,6,103,Phys. Rev. E,"Herbert, Steven",No quantum speedup with Grover-Rudolph state preparation for quantum Monte Carlo integration,article,PhysRevE.103.063302,,,,,,
https://link.aps.org/doi/10.1103/PhysRevA.104.022403,10.1103/PhysRevA.104.022403,American Physical Society,8,2021,19,022403,2,104,Phys. Rev. A,"Fontana, Enrico and Fitzpatrick, Nathan and Ramo, David Munoz and Duncan, Ross and Rungger, Ivan",Evaluating the noise resilience of variational quantum algorithms,article,PhysRevA.104.022403,,,,,,
https://arxiv.org/abs/2109.04842,10.48550/ARXIV.2109.04842,arXiv,9,2021,,,,,,"Herbert, Steven",Every Classical Sampling Circuit is a Quantum Sampling Circuit,article,https://doi.org/10.48550/arxiv.2109.04842,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences",,,,
https://arxiv.org/abs/2109.04840,10.48550/ARXIV.2109.04840,arXiv,9,2021,,,,,,"Herbert, Steven and Guichard, Roland and Ng, Darren",Noise-Aware Quantum Amplitude Estimation,article,https://doi.org/10.48550/arxiv.2109.04840,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences",,,,
https://arxiv.org/abs/2208.05958,doi.org/10.48550/arXiv.2208.05958,arXiv,8,2022,,,,,,"Fontana, Enrico and Rungger, Ivan and Duncan, Ross and Cirstoiu, Cristina",Efficient recovery of variational quantum algorithms landscapes using classical signal processing,article,https://doi.org/10.48550/arXiv.2208.05958,Creative Commons Attribution 4.0 International,,,,,
https://arxiv.org/abs/2209.07106,10.48550/ARXIV.2209.07106,arXiv,9,2022,,,,,,"Iqbal, Mohsin and Ramo, David Munoz and Dreyer, Henrik",Preentangling Quantum Algorithms -- the Density Matrix Renormalization Group-assisted Quantum Canonical Transformation,article,https://doi.org/10.48550/arxiv.2209.07106,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences",,,,
https://doi.org/10.22331/q-2022-09-15-803,10.22331/q-2022-09-15-803,Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften,9,2022,,803,,6,Quantum,"Beaudrap, Niel de and Herbert, Steven",Fast Stabiliser Simulation with Quadratic Form Expansions,article,Beaudrap2022faststabiliser,,,2521-327X,,,
https://doi.org/10.22331/q-2022-09-29-823,10.22331/q-2022-09-29-823,Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften,9,2022,,823,,6,Quantum,"Herbert, Steven",Quantum Monte Carlo Integration: The Full Advantage in Minimal Circuit Depth,article,Herbert2022quantummontecarlo,,,2521-327X,,,
https://arxiv.org/abs/2306.05400,10.48550/arXiv.2306.05400,arXiv,6,2023,,,,,,"Fontana, Enrico and Rudolph, Manuel S and Duncan, Ross and Rungger, Ivan and Cirstoiu, Cristina",Classical simulations of noisy variational quantum circuits,article,https://doi.org/10.48550/arXiv.2306.05400,Creative Commons Attribution 4.0 International,,,,,
https://arxiv.org/abs/2308.06081,https://doi.org/10.48550/arXiv.2308.06081,,8,2023,,,,,,Ismail Yunus Akhalwaya and Adam Connolly and Roland Guichard and Steven Herbert and Cahit Kargi and Alexandre Krajenbrink and Michael Lubasch and Conor Mc Keever and Julien Sorci and Michael Spranger and Ifan Williams,A Modular Engine for Quantum Monte Carlo Integration,article,akhalwaya2023modular,,,,quant-ph,arXiv,2308.06081
,,,,2023,,,,,,Steven Herbert and Roland Guichard and Darren Ng,Noise-Aware Quantum Amplitude Estimation,article,herbert2023noiseaware,,,,quant-ph,arXiv,2109.04840
,,,,2021,,,,,,Steven Herbert,Every Classical Sampling Circuit is a Quantum Sampling Circuit,article,herbert2021classical,,,,quant-ph,arXiv,2109.04842
https://doi.org/10.1017%2Fdce.2022.36,10.1017/dce.2022.36,Cambridge University Press ({CUP}),,2022,,,,3,Data-Centric Engineering,Steven Herbert,Quantum computing for data-centric engineering and science,article,Herbert_2022,,,,,,
,,,,2022,,,,,,Julien Sorci,Average Mixing in Quantum Walks of Reversible Markov Chains,article,sorci2022average,,,,quant-ph,arXiv,2211.02037
https://arxiv.org/abs/2311.00058,https://doi.org/10.48550/arXiv.2311.00058,,10,2023,,,,,,Utkarsh Agrawal and Javier Lopez-Piqueres and Romain Vasseur and Sarang Gopalakrishnan and Andrew C. Potter,Observing quantum measurement collapse as a learnability phase transition,article,agrawal2023observing,,,,quant-ph,arXiv,2311.00058
https://arxiv.org/abs/2401.02207,https://doi.org/10.48550/arXiv.2401.02207,,1,2024,,,,,,Etienne Granet and Henrik Dreyer,A noise-limiting quantum algorithm using mid-circuit measurements for dynamical correlations at infinite temperature,article,granet2024noiselimiting,,,,quant-ph,arXiv,2401.02207
