url,doi,publisher,month,year,numpages,pages,issue,volume,journal,author,title,ENTRYTYPE,ID,number,issn,day,eprint,editor,pubmedid,article-number,copyright,keywords
https://link.aps.org/doi/10.1103/PhysRevX.7.041052,10.1103/PhysRevX.7.041052,American Physical Society,11,2017,17,041052,4,7,Phys. Rev. X,"Benedetti, Marcello and Realpe-Gomez, John and Biswas, Rupak and Perdomo-Ortiz, Alejandro",Quantum-Assisted Learning of Hardware-Embedded Probabilistic Graphical Models,article,benedetti2017quantum,,,,,,,,,
https://doi.org/10.1088/2058-9565/aabd98,10.1088/2058-9565/aabd98,IOP Publishing,5,2018,,034007,,3,Quantum Science and Technology,Marcello Benedetti and John Realpe-Gomez and Alejandro Perdomo-Ortiz,Quantum-assisted Helmholtz machines: A quantum classical deep learning framework for industrial datasets in near-term devices,article,benedetti2018quantum,3,,,,,,,,
https://dx.doi.org/10.1088/2058-9565/aab859,10.1088/2058-9565/aab859,IOP Publishing,6,2018,,030502,,3,Quantum Science and Technology,Alejandro Perdomo-Ortiz and Marcello Benedetti and John Realpe-Gómez and Rupak Biswas,Opportunities and challenges for quantum-assisted machine learning in near-term quantum computers,article,perdomo2018opportunities,3,,,,,,,,
https://doi.org/10.1038/s41534-018-0116-9,10.1038/s41534-018-0116-9,,12,2018,,65,,4,npj Quantum Information,"Grant, Edward and Benedetti, Marcello and Cao, Shuxiang and Hallam, Andrew and Lockhart, Joshua and Stojevic, Vid and Green, Andrew G. and Severini, Simone",Hierarchical quantum classifiers,article,grant2018hierarchical,1,2056-6387,17,,,,,,
https://dx.doi.org/10.1088/1367-2630/ab14b5,10.1088/1367-2630/ab14b5,IOP Publishing,4,2019,,043023,,21,New Journal of Physics,Marcello Benedetti and Edward Grant and Leonard Wossnig and Simone Severini,Adversarial quantum circuit learning for pure state approximation,article,benedetti2019adversarial,4,,,,,,,,
https://doi.org/10.1038/s41534-019-0157-8,10.1038/s41534-019-0157-8,,5,2019,,45,,5,npj Quantum Information,"Benedetti, Marcello and Garcia-Pintos, Delfina and Perdomo, Oscar and Leyton-Ortega, Vicente and Nam, Yunseong and Perdomo-Ortiz, Alejandro",A generative modeling approach for benchmarking and training shallow quantum circuits,article,benedetti2019generative,1,2056-6387,27,,,,,,
https://www.science.org/doi/abs/10.1126/sciadv.aaw9918,10.1126/sciadv.aaw9918,,,2019,,eaaw9918,,5,Science Advances,D. Zhu and N. M. Linke and M. Benedetti and K. A. Landsman and N. H. Nguyen and C. H. Alderete and A. Perdomo-Ortiz and N. Korda and A. Garfoot and C. Brecque and L. Egan and O. Perdomo and C. Monroe ,Training of quantum circuits on a hybrid quantum computer,article,zhu2019training,10,,,https://www.science.org/doi/pdf/10.1126/sciadv.aaw9918,,,,,
https://dx.doi.org/10.1088/2058-9565/ab4eb5,10.1088/2058-9565/ab4eb5,IOP Publishing,11,2019,,043001,,4,Quantum Science and Technology,Marcello Benedetti and Erika Lloyd and Stefan Sack and Mattia Fiorentini,Parameterized quantum circuits as machine learning models,article,benedetti2019parameterized,4,,,,,,,,
https://doi.org/10.22331/q-2019-12-09-214,10.22331/q-2019-12-09-214,"Verein zur F{\""{o}}rderung des Open Access Publizierens in den Quantenwissenschaften",12,2019,,214,,3,Quantum,"Grant, Edward and Wossnig, Leonard and Ostaszewski, Mateusz and Benedetti, Marcello",An initialization strategy for addressing barren plateaus in parametrized quantum circuits,article,grant2019initialization,,2521-327X,,,,,,,
https://doi.org/10.22331/q-2021-01-28-391,10.22331/q-2021-01-28-391,"Verein zur F{\""{o}}rderung des Open Access Publizierens in den Quantenwissenschaften",1,2021,,391,,5,Quantum,"Ostaszewski, Mateusz and Grant, Edward and Benedetti, Marcello",Structure optimization for parameterized quantum circuits,article,ostaszewski2021structure,,2521-327X,,,,,,,
