url,doi,publisher,month,year,numpages,pages,issue,volume,journal,author,title,ENTRYTYPE,ID,annote,urn,address,editor,issn,isbn,series,booktitle,number,day,eprint,copyright,keywords
https://link.aps.org/doi/10.1103/PhysRevB.94.085204,10.1103/PhysRevB.94.085204,American Physical Society,8,2016,11,085204,8,94,Phys. Rev. B,"Fiorentini, Mattia and Bonini, Nicola",Thermoelectric coefficients of $n$-doped silicon from first principles via the solution of the Boltzmann transport equation,article,PhysRevB.94.085204,,,,,,,,,,,,,
http://drops.dagstuhl.de/opus/volltexte/2017/7469,10.4230/LIPIcs.ICALP.2017.76,Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik,7,2017,,76:1--76:14,,80,,Laura Mancinska and David E. Roberson and Robert Samal and Simone Severini and Antonios Varvitsiotis,Relaxations of Graph Isomorphism,article,mancinska_et_al:LIPIcs:2017:7469,"Keywords: graph isomorphism, quantum information, semidefinite programming",urn:nbn:de:0030-drops-74697,"Dagstuhl, Germany",Ioannis Chatzigiannakis and Piotr Indyk and Fabian Kuhn and Anca Muscholl,1868-8969,978-3-95977-041-5,Leibniz International Proceedings in Informatics (LIPIcs),"44th International Colloquium on Automata, Languages, and Programming (ICALP 2017)",,,,,
https://link.aps.org/doi/10.1103/PhysRevX.7.041052,10.1103/PhysRevX.7.041052,American Physical Society,11,2017,17,041052,4,7,Phys. Rev. X,"Benedetti, Marcello and Realpe-Gomez, John and Biswas, Rupak and Perdomo-Ortiz, Alejandro",Quantum-Assisted Learning of Hardware-Embedded Probabilistic Graphical Models,article,PhysRevX.7.041052,,,,,,,,,,,,,
https://doi.org/10.1088/2058-9565/aabd98,10.1088/2058-9565/aabd98,IOP Publishing,5,2018,,034007,,3,Quantum Science and Technology,Marcello Benedetti and John Realpe-Gomez and Alejandro Perdomo-Ortiz,Quantum-assisted Helmholtz machines: A quantum{\textendash}classical deep learning framework for industrial datasets in near-term devices,article,Benedetti_2018,,,,,,,,,3,,,,
https://doi.org/10.1038/s41534-018-0116-9,10.1038/s41534-018-0116-9,,12,2018,,65,,4,npj Quantum Information,"Grant, Edward
and Benedetti, Marcello
and Cao, Shuxiang
and Hallam, Andrew
and Lockhart, Joshua
and Stojevic, Vid
and Green, Andrew G.
and Severini, Simone",Hierarchical quantum classifiers,article,Grant2018,,,,,2056-6387,,,,1,17,,,
https://doi.org/10.1038/s41534-019-0157-8,10.1038/s41534-019-0157-8,,5,2019,,45,,5,npj Quantum Information,"Benedetti, Marcello
and Garcia-Pintos, Delfina
and Perdomo, Oscar
and Leyton-Ortega, Vicente
and Nam, Yunseong
and Perdomo-Ortiz, Alejandro",A generative modeling approach for benchmarking and training shallow quantum circuits,article,Benedetti2019,,,,,2056-6387,,,,1,27,,,
https://doi.org/10.1088/1367-2630/ab14b5,10.1088/1367-2630/ab14b5,IOP Publishing,4,2019,,043023,,21,New Journal of Physics,Marcello Benedetti and Edward Grant and Leonard Wossnig and Simone Severini,Adversarial quantum circuit learning for pure state approximation,article,Benedetti2:2019,,,,,,,,,4,,,,
https://www.science.org/doi/abs/10.1126/sciadv.aaw9918,10.1126/sciadv.aaw9918,,10,2019,,eaaw9918,,5,Science Advances,D. Zhu  and N. M. Linke  and M. Benedetti  and K. A. Landsman  and N. H. Nguyen  and C. H. Alderete  and A. Perdomo-Ortiz  and N. Korda  and A. Garfoot  and C. Brecque  and L. Egan  and O. Perdomo  and C. Monroe ,Training of quantum circuits on a hybrid quantum computer,article,doi:10.1126/sciadv.aaw9918,,,,,,,,,10,,https://www.science.org/doi/pdf/10.1126/sciadv.aaw9918,,
https://doi.org/10.1088/2058-9565/ab4eb5,10.1088/2058-9565/ab4eb5,IOP Publishing,11,2019,,043001,,4,Quantum Science and Technology,Marcello Benedetti and Erika Lloyd and Stefan Sack and Mattia Fiorentini,Parameterized quantum circuits as machine learning models,article,Benedetti1:2019,,,,,,,,,4,,,,
https://link.aps.org/doi/10.1103/PhysRevE.103.063302,10.1103/PhysRevE.103.063302,American Physical Society,6,2021,6,063302,6,103,Phys. Rev. E,"Herbert, Steven",No quantum speedup with Grover-Rudolph state preparation for quantum Monte Carlo integration,article,PhysRevE.103.063302,,,,,,,,,,,,,
https://link.aps.org/doi/10.1103/PhysRevResearch.3.033083,10.1103/PhysRevResearch.3.033083,American Physical Society,7,2021,15,033083,3,3,Phys. Rev. Research,"Benedetti, Marcello and Fiorentini, Mattia and Lubasch, Michael",Hardware-efficient variational quantum algorithms for time evolution,article,PhysRevResearch.3.033083,,,,,,,,,,,,,
https://doi.org/10.4204%2Feptcs.343.7,10.4204/eptcs.343.7,Open Publishing Association,9,2021,,132--144,,343,Electronic Proceedings in Theoretical Computer Science,Alexis Toumi and Richie Yeung and Giovanni de Felice,Diagrammatic Differentiation for Quantum Machine Learning,article,Toumi_2021,,,,,,,,,,,,,
https://arxiv.org/abs/2109.04840,10.48550/ARXIV.2109.04840,arXiv,9,2021,,,,,,"Herbert, Steven and Guichard, Roland and Ng, Darren",Noise-Aware Quantum Amplitude Estimation,article,https://doi.org/10.48550/arxiv.2109.04840,,,,,,,,,,,,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences"
https://arxiv.org/abs/2109.04842,10.48550/ARXIV.2109.04842,arXiv,9,2021,,,,,,"Herbert, Steven",Every Classical Sampling Circuit is a Quantum Sampling Circuit,article,https://doi.org/10.48550/arxiv.2109.04842,,,,,,,,,,,,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences"
https://arxiv.org/abs/2109.08629,10.48550/ARXIV.2109.08629,arXiv,9,2021,,,,,,"de Beaudrap, Niel and Herbert, Steven",Fast Stabiliser Simulation with Quadratic Form Expansions,article,https://doi.org/10.48550/arxiv.2109.08629,,,,,,,,,,,,"arXiv.org perpetual, non-exclusive license","Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences"
https://link.aps.org/doi/10.1103/PhysRevApplied.16.044057,10.1103/PhysRevApplied.16.044057,American Physical Society,10,2021,18,044057,4,16,Phys. Rev. Applied,"Benedetti, Marcello and Coyle, Brian and Fiorentini, Mattia and Lubasch, Michael and Rosenkranz, Matthias",Variational Inference with a Quantum Computer,article,PhysRevApplied.16.044057,,,,,,,,,,,,,
https://doi.org/10.1140/epjqt/s40507-022-00123-4,10.1140/epjqt/s40507-022-00123-4,,1,2022,,5,,9,EPJ Quantum Technol.,"Amaro, David and Rosenkranz, Matthias and Fitzpatrick, Nathan and Hirano, Koji and Fiorentini, Mattia",A case study of variational quantum algorithms for a job shop scheduling problem,article,refId0,,,,,,,,,1,,,,
https://doi.org/10.1088%2F2058-9565%2Fac3e54,10.1088/2058-9565/ac3e54,IOP Publishing,2,2022,,015021,,7,Quantum Science and Technology,"Amaro, David and Modica, Carlo and Rosenkranz, Matthias 
and Fiorentini, Mattia and Benedetti, Marcello 
and Lubasch, Michael","Filtering variational quantum algorithms for combinatorial 
optimization",article,10.1088/2058-9565/ac3e54,,,,,,,,,1,,,,
https://doi.org/10.22331/q-2022-03-17-670,10.22331/q-2022-03-17-670,"Verein zur F{\""{o}}rderung des Open Access Publizierens in den Quantenwissenschaften",3,2022,,670,,6,{Quantum},"Plekhanov, Kirill and Rosenkranz, Matthias and Fiorentini, Mattia and Lubasch, Michael",Variational quantum amplitude estimation,article,Plekhanov2022variationalquantum,,,,,2521-327X,,,,,,,,
