copyright,month,year,publisher,title,keywords,author,url,doi,ENTRYTYPE,ID,annote,urn,address,editor,volume,issn,isbn,series,pages,booktitle,journal,numpages,issue,number,day,eprint,articleno,issue_date,primaryclass,archiveprefix
"arXiv.org perpetual, non-exclusive license",5,2018,arXiv,On the depth overhead incurred when running quantum algorithms on near-term quantum computers with limited qubit connectivity,"Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences","Herbert, Steven",https://arxiv.org/abs/1805.12570,10.48550/ARXIV.1805.12570,article,https://doi.org/10.48550/arxiv.1805.12570,,,,,,,,,,,,,,,,,,,,
,6,2019,Schloss Dagstuhl--Leibniz-Zentrum fuer Informatik,On the Qubit Routing Problem,,Alexander Cowtan and Silas Dilkes and Ross Duncan and Alexandre Krajenbrink and Will Simmons and Seyon Sivarajah,http://drops.dagstuhl.de/opus/volltexte/2019/10397,10.4230/LIPIcs.TQC.2019.5,inproceedings,cowtan_et_al:LIPIcs:2019:10397,"Keywords: Quantum Computing, Qubit routing, Compilation",urn:nbn:de:0030-drops-103972,"Dagstuhl, Germany",Wim van Dam and Laura Mancinska,135,1868-8969,978-3-95977-112-2,Leibniz International Proceedings in Informatics (LIPIcs),5:1--5:32,"14th Conference on the Theory of Quantum Computation, Communication and Cryptography (TQC 2019)",,,,,,,,,,
"arXiv.org perpetual, non-exclusive license",4,2020,arXiv,Architecture-aware synthesis of phase polynomials for NISQ devices,"Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences","de Griend, Arianne Meijer-van and Duncan, Ross",https://arxiv.org/abs/2004.06052,10.48550/ARXIV.2004.06052,article,https://doi.org/10.48550/arxiv.2004.06052,,,,,,,,,,,,,,,,,,,,
,5,2020,Open Publishing Association,Phase Gadget Synthesis for Shallow Circuits,,Alexander Cowtan and Silas Dilkes and Ross Duncan and Will Simmons and Seyon Sivarajah,https://doi.org/10.4204%2Feptcs.318.13,10.4204/eptcs.318.13,article,Cowtan_2020,,,,,318,,,,213--228,,Electronic Proceedings in Theoretical Computer Science,,,,,,,,,
,6,2020,Schloss Dagstuhl--Leibniz-Zentrum fur Informatik,Fast and Effective Techniques for T-Count Reduction via Spider Nest Identities,,Niel de Beaudrap and Xiaoning Bian and Quanlong Wang,https://drops.dagstuhl.de/opus/volltexte/2020/12070,10.4230/LIPIcs.TQC.2020.11,inproceedings,debeaudrap_et_al:LIPIcs:2020:12070,"Keywords: T-count, Parity-phase operations, Phase gadgets, Clifford hierarchy, ZX calculus",urn:nbn:de:0030-drops-120705,"Dagstuhl, Germany",Steven T. Flammia,158,1868-8969,978-3-95977-146-7,Leibniz International Proceedings in Informatics (LIPIcs),11:1--11:23,"15th Conference on the Theory of Quantum Computation, Communication and Cryptography (TQC 2020)",,,,,,,,,,
,7,2020,American Physical Society,From Stochastic Spin Chains to Quantum Kardar-Parisi-Zhang Dynamics,,"Jin, Tony and Krajenbrink, Alexandre and Bernard, Denis",https://link.aps.org/doi/10.1103/PhysRevLett.125.040603,10.1103/PhysRevLett.125.040603,article,PhysRevLett.125.040603,,,,,125,,,,040603,,Phys. Rev. Lett.,7,4,,,,,,,
"arXiv.org perpetual, non-exclusive license",7,2020,arXiv,A Generic Compilation Strategy for the Unitary Coupled Cluster Ansatz,"Quantum Physics (quant-ph), Emerging Technologies (cs.ET), FOS: Physical sciences, FOS: Physical sciences, FOS: Computer and information sciences, FOS: Computer and information sciences","Cowtan, Alexander and Simmons, Will and Duncan, Ross",https://arxiv.org/abs/2007.10515,10.48550/ARXIV.2007.10515,article,https://doi.org/10.48550/arxiv.2007.10515,,,,,,,,,,,,,,,,,,,,
,9,2020,,Variational fast forwarding for quantum simulation beyond the coherence time,,"Cirstoiu, Cristina and Holmes, Zoe and Iosue, Joseph and Cincio, Lukasz and Coles, Patrick J. and Sornborger, Andrew",https://doi.org/10.1038/s41534-020-00302-0,10.1038/s41534-020-00302-0,article,Cîrstoiu2020,,,,,6,2056-6387,,,82,,npj Quantum Information,,,1,18,,,,,
,3,2021,Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften,"Application-Motivated, Holistic Benchmarking of a Full Quantum Computing Stack",,Daniel Mills and Seyon Sivarajah and Travis L. Scholten and Ross Duncan,https://doi.org/10.22331%2Fq-2021-03-22-415,10.22331/q-2021-03-22-415,article,Mills_2021,,,,,5,,,,415,,Quantum,,,,,,,,,
"arXiv.org perpetual, non-exclusive license",4,2021,arXiv,Qufinite ZX-calculus: a unified framework of qudit ZX-calculi,"Quantum Physics (quant-ph), Quantum Algebra (math.QA), FOS: Physical sciences, FOS: Physical sciences, FOS: Mathematics, FOS: Mathematics","Wang, Quanlong",https://arxiv.org/abs/2104.06429,10.48550/ARXIV.2104.06429,article,https://doi.org/10.48550/arxiv.2104.06429,,,,,,,,,,,,,,,,,,,,
,3,2022,,Quantum double aspects of surface code models,,"Cowtan, Alexander and Majid, Shahn",https://doi.org/10.1063/5.0063768,10.1063/5.0063768,article,doi:10.1063/5.0063768,,,,,63,,,,042202,,Journal of Mathematical Physics,,,4,,https://doi.org/10.1063/5.0063768,,,,
,4,2022,American Physical Society,Estimation of correlations and nonseparability in quantum channels via unitarity benchmarking,,"Girling, Matthew and Cirstoiu, Cristina and Jennings, David",https://link.aps.org/doi/10.1103/PhysRevResearch.4.023041,10.1103/PhysRevResearch.4.023041,article,PhysRevResearch.4.023041,,,,,4,,,,023041,,Phys. Rev. Research,29,2,,,,,,,
,5,2022,Association for Computing Machinery,Using Reinforcement Learning to Perform Qubit Routing in Quantum Compilers,,"Pozzi, Matteo G. and Herbert, Steven J. and Sengupta, Akash and Mullins, Robert D.",https://doi.org/10.1145/3520434,10.1145/3520434,article,10.1145/3520434,,,"New York, NY, USA",,3,2643-6809,,,,,ACM Transactions on Quantum Computing,25,,2,,,10,June 2022,,
"arXiv.org perpetual, non-exclusive license",8,2022,arXiv,Efficient recovery of variational quantum algorithms landscapes using classical signal processing,"Quantum Physics (quant-ph), FOS: Physical sciences, FOS: Physical sciences","Fontana, Enrico and Rungger, Ivan and Duncan, Ross and Cirstoiu, Cristina",https://arxiv.org/abs/2208.05958,10.48550/ARXIV.2208.05958,article,https://doi.org/10.48550/arxiv.2208.05958,,,,,,,,,,,,,,,,,,,,
,12,2023,,Entanglement-efficient bipartite-distributed quantum computing – Quantum,,Entanglement-Assisted Local Operations,"https://quantum-journal.org/papers/q-2023-12-05-1196/#:~:text=Each%20distributing%20process%20distributes%20corresponding,hence%20save%20the%20entanglement%20cost",https://doi.org/10.22331/q-2023-12-05-1196,article,Entanglement-Assisted_Local_Operations_2023_quantum-journal,,,,,,,,,,,Quantum,,,,,,,,,
,,2024,,Quantum Algorithm Exploration using Application-Oriented Performance Benchmarks,,Thomas Lubinski and Joshua J. Goings and Karl Mayer and Sonika Johri and Nithin Reddy and Aman Mehta and Niranjan Bhatia and Sonny Rappaport and Daniel Mills and Charles H. Baldwin and Luning Zhao and Aaron Barbosa and Smarak Maity and Pranav S. Mundada,https://arxiv.org/abs/2402.08985,,misc,lubinski2024quantumalgorithmexplorationusing,,,,,,,,,,,,,,,,2402.08985,,,quant-ph,arXiv
